Date,Open,High,Low,Close,Adj Close,Volume,Ticker,return_1d,return_3d,return_7d,ma_10,ma_20,ma_50,volatility_10,volatility_20,rsi_14,macd,macd_signal,macd_diff,nifty_close,nifty_return_1d,nifty_return_3d,nifty_return_7d,banknifty_close,banknifty_return_1d,banknifty_return_3d,banknifty_return_7d,relative_return_vs_nifty,relative_return_vs_banknifty,future_close_7d,future_return_7d,target_up_7d
2021-03-22,372.0,372.7999877929688,363.5,367.0,338.6369934082031,28461974,SBIN.NS,,,,,,,,,,,,,14736.400390625,,,,33603.44921875,,,,,,370.6499938964844,0.009945487456360695,1
2021-03-23,368.7000122070313,377.9500122070313,367.0499877929688,372.7000122070313,343.8965148925781,41032380,SBIN.NS,0.015531368411529467,,,,,,,,,,,,14814.75,0.00531673999743143,,,34184.3984375,0.017288380575701146,,,0.010214628414098037,-0.0017570121641716785,353.54998779296875,-0.051381872248034435,0
2021-03-24,368.5,369.0499877929688,358.6499938964844,359.8500061035156,332.03955078125,42318999,SBIN.NS,-0.03447814779350644,,,,,,,,,,,,14549.400390625,-0.017911176994211853,,,33293.25,-0.026068864108558243,,,-0.01656697079929459,-0.008409283684948199,350.54998779296875,-0.02584415215452741,0
2021-03-25,360.0,360.8500061035156,345.20001220703125,355.20001220703125,327.7489318847656,57495003,SBIN.NS,-0.012922033674071298,-0.03215255529419281,,,,,,,,,,,14324.900390625,-0.015430189146808937,-0.027924051267077976,,33006.44921875,-0.008614382232134177,-0.01776603336501803,,0.0025081554727376387,-0.0043076514419371215,358.54998779296875,0.009431237248902286,1
2021-03-26,360.0,362.0,354.54998779296875,357.20001220703125,329.5943908691406,40718848,SBIN.NS,0.005630630437124751,-0.04158840754582527,,,,,,,,,,,14507.2998046875,0.012733031929623273,-0.020752978977876757,,33318.19921875,0.009445123828191182,-0.025339021844532073,,-0.007102401492498522,-0.0038144933910664314,355.6000061035156,-0.0044793002487028746,0
2021-03-30,360.1000061035156,364.2999877929688,356.29998779296875,360.7999877929688,332.9161682128906,39405124,SBIN.NS,0.010078318765148975,0.0026399379556489855,,,,,,,,,,,14845.099609375,0.02328481586755049,0.02032380791036137,,33875.1015625,0.016714659159508205,0.017476562441335775,,-0.013206497102401515,-0.00663634039435923,353.0,-0.02161859217535376,0
2021-03-31,360.2999877929688,367.8500061035156,357.95001220703125,364.2999877929688,336.1456604003906,38651025,SBIN.NS,0.009700665516674922,0.02561929975563615,,,,,,,,,,,14690.7001953125,-0.010400699094332388,0.025535940544961777,,33303.8984375,-0.016862034315856533,0.009011851495404954,,0.02010136461100731,0.026562699832531456,328.8500061035156,-0.09730986241371865,0
2021-04-01,367.7000122070313,371.8999938964844,363.1000061035156,370.6499938964844,342.0049133300781,31883453,SBIN.NS,0.0174307063307515,0.03765392281581881,0.009945487456360702,,,,,,,,,,14867.349609375,0.012024574166918489,0.0248185265028551,0.008886106191394516,33858.0,0.016637738778235267,0.016201379243396374,0.007575138480366617,0.005406132163833011,0.0007929675525162327,341.0,-0.07999458892414028,0
2021-04-05,367.5,369.2000122070313,349.04998779296875,353.54998779296875,326.2264404296875,51743981,SBIN.NS,-0.046135185174969506,-0.02009423571311253,-0.05138187224803448,,,,,,,,,,14637.7998046875,-0.015439860548026041,-0.013964190887381212,-0.01194419043942696,32678.849609375,-0.034826345047699214,-0.035313604917697416,-0.044041986898719965,-0.030695324626943465,-0.011308840127270292,342.70001220703125,-0.030688660615344192,0
2021-04-06,355.70001220703125,357.0,349.29998779296875,350.54998779296875,323.4582824707031,44147709,SBIN.NS,-0.008485363042231908,-0.037743619162057596,-0.0258441521545274,361.17999877929685,,,,,,,,,14683.5,0.003122067245233451,-0.0004901192738789861,0.009216847827035357,32501.349609375,-0.005431647751427571,-0.02409774428153233,-0.02378561391948819,-0.011607430287465359,-0.0030537152908043375,339.8999938964844,-0.03038081377077141,0
2021-04-07,351.25,363.2000122070313,347.6000061035156,358.54998779296875,330.8400573730469,48023602,SBIN.NS,0.022821281639081814,-0.032645369763300014,0.009431237248902269,360.3349975585937,,,0.023108541030821154,,,,,,14819.0498046875,0.009231436965811968,-0.003248716547100128,0.0344958359630827,32991.19921875,0.015071669800250431,-0.025601062710437716,-0.00046203091701657595,0.013589844673269846,0.007749611838831383,331.1499938964844,-0.07641889507553261,0
2021-04-08,361.0,363.2999877929688,354.29998779296875,355.6000061035156,328.1180419921875,33370259,SBIN.NS,-0.00822753253350128,0.0057983832027377336,-0.004479300248702911,358.6249969482422,,,0.02230369534897454,,,,,,14873.7998046875,0.0036945688638336804,0.016122641595660125,0.025263143723105452,32782.8515625,-0.006315249556966385,0.003182546337101355,-0.016067724811151596,-0.011922101397334961,-0.0019122829765348959,329.5,-0.0733970912697844,0
2021-04-09,354.3999938964844,364.5,351.20001220703125,353.0,325.7189636230469,46473100,SBIN.NS,-0.007311603090239482,0.006989052324481104,-0.02161859217535378,357.93999633789065,,,0.019749152671559734,,,,,,14834.849609375,-0.0026187118170183377,0.01030746139374128,-0.0006904635381177471,32448.05078125,-0.0102126802670508,-0.0016398958432675137,-0.042126834029326043,-0.004692891273221145,0.0029010771768113175,336.6499938964844,-0.04631729774367033,0
2021-04-12,344.0,344.0,322.54998779296875,328.8500061035156,303.43536376953125,75501713,SBIN.NS,-0.06841358044329848,-0.08283358722801648,-0.09730986241371864,355.30499572753905,,,0.028910658004721788,,25.981589599842735,,,,14310.7998046875,-0.03532558930400764,-0.03429707077705024,-0.02585992400459025,30792.0,-0.051036988089495416,-0.06666017819382941,-0.07542355566012704,-0.03308799113929084,-0.017376592353803066,336.45001220703125,0.02311085894011901,1
2021-04-13,332.0,342.25,330.5,341.0,314.6463623046875,49773360,SBIN.NS,0.036946917047220085,-0.041057384288304966,-0.07999458892414024,353.68499450683595,,,0.03199722125819385,,37.78550342923165,,,,14504.7998046875,0.013556195506029933,-0.024808724390905756,-0.024385637939050353,31771.599609375,0.03181344535512465,-0.03084697959227445,-0.061622080176767624,0.02339072154119015,0.005133471692095437,344.29998779296875,0.009677383557093109,1
2021-04-15,342.1000061035156,347.54998779296875,336.1000061035156,342.70001220703125,316.2149963378906,52992349,SBIN.NS,0.004985373041147323,-0.029178435674132475,-0.030688660615344143,351.8749969482422,,,0.03178524909868832,,39.24541318734507,,,,14581.4501953125,0.005284484560774683,-0.01708136049470721,-0.003849595576307485,32112.849609375,0.010740724552606551,-0.010330394701819623,-0.017320071139763304,-0.0002991115196273597,-0.005755351511459228,353.04998779296875,0.030201269965770803,1
2021-04-16,343.0,345.5,338.6499938964844,339.8999938964844,313.6313781738281,37766793,SBIN.NS,-0.008170464577793246,0.03360190843204802,-0.030380813770771398,349.43499755859375,,,0.03138747057629201,,37.677194959435624,,,,14617.849609375,0.002496282165007191,0.021455810218722116,-0.004471031472401021,31977.44921875,-0.004216392885465714,0.03849861063750315,-0.01611934264027859,-0.010666746742800437,-0.003954071692327532,363.3999938964844,0.06913798300083777,1
2021-04-19,327.1499938964844,332.04998779296875,321.29998779296875,331.1499938964844,305.5575866699219,53304377,SBIN.NS,-0.025742866010950216,-0.028885648397406483,-0.07641889507553257,345.48499755859376,,,0.030698492997881514,,33.2110568157167,,,,14359.4501953125,-0.017676978554819645,-0.010020793898032787,-0.031014107883598707,31208.400390625,-0.024049724005943185,-0.01772649868670173,-0.05403861849046632,-0.008065887456130572,-0.0016931420050070312,359.3999938964844,0.08530877403195965,1
2021-04-20,335.1000061035156,339.8999938964844,326.70001220703125,329.5,304.0351257324219,41296147,SBIN.NS,-0.004982617928116717,-0.03851768817287604,-0.07339709126978444,343.0799987792969,,,0.028077854338324854,,32.43039173703215,,,,14296.400390625,-0.004390823034999047,-0.01954879664706699,-0.03881989953102172,31112.69921875,-0.003066519612576757,-0.031144865771520203,-0.05094591422487704,-0.0005917948931176698,-0.0019160983155399602,353.5,0.07283763277693475,1
2021-04-22,326.0,337.6499938964844,323.29998779296875,336.6499938964844,310.63250732421875,49105833,SBIN.NS,0.021699526241227174,-0.009561635946924385,-0.04631729774367033,341.68999938964845,351.4349990844727,,0.029448624142877567,,39.10979285937721,,,,14406.150390625,0.007676757575422188,-0.01448224084985994,-0.02889811693669475,31782.599609375,0.02153141345644749,-0.00609334434532538,-0.02050820175181456,0.014022768665804985,0.00016811278477968372,350.6000061035156,0.04143773194696894,1
2021-04-23,331.6499938964844,339.8999938964844,331.6499938964844,336.45001220703125,310.4480285644531,44223940,SBIN.NS,-0.0005940344365923389,0.01600488723609539,0.023110858940118995,339.48000183105466,349.9074996948242,,0.02800647685910389,0.025069682812375153,38.99368819056474,,,,14341.349609375,-0.004498133053794207,-0.0012605347482878004,0.0021347377578082583,31722.30078125,-0.001897227692703063,0.016466732808881,0.030212418201156055,0.0039040986172018677,0.001303193256110724,351.5,0.044731720157310875,1
2021-04-26,339.25,347.45001220703125,339.25,344.29998779296875,317.6913146972656,49234985,SBIN.NS,0.023331773818177526,0.044916503165307375,0.009677383557093133,338.35,348.4874984741211,,0.02946535273222476,0.025447880986988112,45.79602401552664,,,,14485.0,0.010016518287169873,0.013192104601286614,-0.0013650519106855885,32275.150390625,0.01742779041114728,0.037362594730271814,0.01584908495137327,0.013315255531007653,0.005903983407030244,355.3999938964844,0.032239345039390986,1
2021-04-27,344.0,354.95001220703125,342.3999938964844,353.04998779296875,325.7650756835937,46003023,SBIN.NS,0.0254138841423992,0.048715265687862,0.03020126996577077,338.35499877929686,348.1474975585937,,0.0307030267072243,0.025150401629285085,52.19461759123275,,,,14653.0498046875,0.011601643402658013,0.017138472622302503,0.00491032156719351,32735.349609375,0.01425862352863505,0.02997709475341237,0.019384763656049575,0.013812240739741188,0.01115526061376415,355.54998779296875,0.007081150223593888,1
2021-04-28,357.0,364.2999877929688,356.04998779296875,363.3999938964844,335.315185546875,56696255,SBIN.NS,0.02931597921364304,0.08010099780549185,0.06913798300083784,341.80999755859375,348.55749664306643,,0.020056968691034367,0.02582964303742429,58.44359041260222,,,,14864.5498046875,0.014433855260107098,0.03648193577056946,0.016876640675950183,33722.80078125,0.030164674691368187,0.06306289111231278,0.05458069999769122,0.014882123953535942,-0.0008486954777251476,358.25,-0.014171695054984968,0
2021-04-29,365.0,369.9500122070313,355.5,359.3999938964844,331.6243591308594,63692926,SBIN.NS,-0.011007154835394495,0.04385712064734504,0.08530877403195958,343.6499969482422,348.66749572753906,,0.01863949191488936,0.02595602199231995,55.42804766193068,,,,14894.900390625,0.0020418099664161193,0.02829826652571632,0.03728904575241265,33714.5,-0.0002461474449837464,0.04459621696427751,0.08030208463128519,-0.013048964801810614,-0.010761007390410748,361.7000122070313,0.006399605869802522,1
