Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2021-03-22,372.0,372.79998779296875,363.5,367.0,338.6369934082031,28461974,SBIN.NS
2021-03-23,368.70001220703125,377.95001220703125,367.04998779296875,372.70001220703125,343.8965148925781,41032380,SBIN.NS
2021-03-24,368.5,369.04998779296875,358.6499938964844,359.8500061035156,332.03955078125,42318999,SBIN.NS
2021-03-25,360.0,360.8500061035156,345.20001220703125,355.20001220703125,327.7489318847656,57495003,SBIN.NS
2021-03-26,360.0,362.0,354.54998779296875,357.20001220703125,329.5943908691406,40718848,SBIN.NS
2021-03-30,360.1000061035156,364.29998779296875,356.29998779296875,360.79998779296875,332.9161682128906,39405124,SBIN.NS
2021-03-31,360.29998779296875,367.8500061035156,357.95001220703125,364.29998779296875,336.1456604003906,38651025,SBIN.NS
2021-04-01,367.70001220703125,371.8999938964844,363.1000061035156,370.6499938964844,342.0049133300781,31883453,SBIN.NS
2021-04-05,367.5,369.20001220703125,349.04998779296875,353.54998779296875,326.2264404296875,51743981,SBIN.NS
2021-04-06,355.70001220703125,357.0,349.29998779296875,350.54998779296875,323.4582824707031,44147709,SBIN.NS
2021-04-07,351.25,363.20001220703125,347.6000061035156,358.54998779296875,330.8400573730469,48023602,SBIN.NS
2021-04-08,361.0,363.29998779296875,354.29998779296875,355.6000061035156,328.1180419921875,33370259,SBIN.NS
2021-04-09,354.3999938964844,364.5,351.20001220703125,353.0,325.7189636230469,46473100,SBIN.NS
2021-04-12,344.0,344.0,322.54998779296875,328.8500061035156,303.43536376953125,75501713,SBIN.NS
2021-04-13,332.0,342.25,330.5,341.0,314.6463623046875,49773360,SBIN.NS
2021-04-15,342.1000061035156,347.54998779296875,336.1000061035156,342.70001220703125,316.2149963378906,52992349,SBIN.NS
2021-04-16,343.0,345.5,338.6499938964844,339.8999938964844,313.6313781738281,37766793,SBIN.NS
2021-04-19,327.1499938964844,332.04998779296875,321.29998779296875,331.1499938964844,305.5575866699219,53304377,SBIN.NS
2021-04-20,335.1000061035156,339.8999938964844,326.70001220703125,329.5,304.0351257324219,41296147,SBIN.NS
2021-04-22,326.0,337.6499938964844,323.29998779296875,336.6499938964844,310.63250732421875,49105833,SBIN.NS
2021-04-23,331.6499938964844,339.8999938964844,331.6499938964844,336.45001220703125,310.4480285644531,44223940,SBIN.NS
2021-04-26,339.25,347.45001220703125,339.25,344.29998779296875,317.6913146972656,49234985,SBIN.NS
2021-04-27,344.0,354.95001220703125,342.3999938964844,353.04998779296875,325.76507568359375,46003023,SBIN.NS
2021-04-28,357.0,364.29998779296875,356.04998779296875,363.3999938964844,335.315185546875,56696255,SBIN.NS
2021-04-29,365.0,369.95001220703125,355.5,359.3999938964844,331.6243591308594,63692926,SBIN.NS
2021-04-30,353.45001220703125,362.5,350.45001220703125,353.5,326.1802978515625,53832840,SBIN.NS
2021-05-03,349.6000061035156,352.5,341.3999938964844,350.6000061035156,323.50445556640625,43691860,SBIN.NS
2021-05-04,355.0,362.8999938964844,350.20001220703125,351.5,324.33489990234375,57749307,SBIN.NS
2021-05-05,356.5,357.45001220703125,348.0,355.3999938964844,327.9335021972656,40872501,SBIN.NS
2021-05-06,358.0,359.3500061035156,350.54998779296875,355.54998779296875,328.0718994140625,36294427,SBIN.NS
2021-05-07,357.5,362.0,353.0,358.25,330.563232421875,38357618,SBIN.NS
2021-05-10,360.5,367.0,358.79998779296875,361.70001220703125,333.74658203125,41739324,SBIN.NS
2021-05-11,356.8500061035156,366.3999938964844,354.75,364.6499938964844,336.4686279296875,41892770,SBIN.NS
2021-05-12,362.79998779296875,373.5,361.8999938964844,367.70001220703125,339.2829284667969,53436590,SBIN.NS
2021-05-14,370.0,372.5,359.54998779296875,360.45001220703125,332.59320068359375,51722170,SBIN.NS
2021-05-17,364.3999938964844,385.20001220703125,363.6499938964844,383.1000061035156,353.49273681640625,106555796,SBIN.NS
2021-05-18,390.0,392.54998779296875,380.04998779296875,382.25,352.70843505859375,70917710,SBIN.NS
2021-05-19,382.0,389.5,381.20001220703125,384.3999938964844,354.6922302246094,48189573,SBIN.NS
2021-05-20,387.0,387.79998779296875,382.0,384.54998779296875,354.8306579589844,42898608,SBIN.NS
2021-05-21,390.0,404.3999938964844,378.0,401.20001220703125,370.19390869140625,192810772,SBIN.NS
2021-05-24,417.0,419.20001220703125,405.29998779296875,412.04998779296875,380.2053527832031,142964052,SBIN.NS
2021-05-25,415.1000061035156,415.5,408.5,412.3500061035156,380.482177734375,56048127,SBIN.NS
2021-05-26,413.79998779296875,418.75,410.79998779296875,413.54998779296875,381.5894470214844,52357719,SBIN.NS
2021-05-27,413.70001220703125,429.1000061035156,412.0,425.20001220703125,392.339111328125,73392997,SBIN.NS
2021-05-28,430.5,433.6499938964844,420.04998779296875,422.04998779296875,389.4324951171875,65137568,SBIN.NS
2021-05-31,421.0,426.0,418.0,424.3500061035156,391.5548095703125,38291043,SBIN.NS
2021-06-01,426.04998779296875,435.3500061035156,425.6000061035156,432.54998779296875,399.1210632324219,59299647,SBIN.NS
2021-06-02,430.79998779296875,437.95001220703125,429.1499938964844,437.25,403.45782470703125,38657806,SBIN.NS
2021-06-03,437.0,441.95001220703125,433.5,439.6499938964844,409.417724609375,38909199,SBIN.NS
2021-06-04,437.5,441.8999938964844,431.75,433.6000061035156,403.78375244140625,36898769,SBIN.NS
2021-06-07,435.1000061035156,437.3999938964844,430.79998779296875,432.25,402.5265808105469,20201197,SBIN.NS
2021-06-08,432.25,432.5,424.0,427.20001220703125,397.8238525390625,31113823,SBIN.NS
2021-06-09,427.5,432.29998779296875,418.20001220703125,421.45001220703125,392.46923828125,27784834,SBIN.NS
2021-06-10,424.8999938964844,433.29998779296875,422.3999938964844,432.25,402.5265808105469,27397712,SBIN.NS
2021-06-11,434.8500061035156,435.5,425.25,429.6000061035156,400.05877685546875,26831924,SBIN.NS
2021-06-14,427.0,432.45001220703125,416.70001220703125,430.3500061035156,400.75726318359375,30106015,SBIN.NS
2021-06-15,429.20001220703125,432.79998779296875,428.0,429.5,399.9656982421875,16413658,SBIN.NS
2021-06-16,428.0,432.75,425.0,425.95001220703125,396.6598205566406,19701175,SBIN.NS
2021-06-17,421.0,425.95001220703125,416.6000061035156,420.25,391.3517761230469,23048331,SBIN.NS
